,ID,Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
128,20212,2021,2,Formosa,51551,0,51551
129,20212,2021,2,Jujuy,111848,0,111848
130,20212,2021,2,La Pampa,97551,116,97667
131,20212,2021,2,La Rioja,81599,3,81602
132,20212,2021,2,Mendoza,229052,619,229671
133,20212,2021,2,Misiones,156176,0,156176
134,20212,2021,2,Neuquén,137877,373,138250
135,20212,2021,2,Río Negro,143583,501,144084
136,20212,2021,2,Salta,191637,2,191639
137,20212,2021,2,San Juan,78677,256,78933
138,20212,2021,2,San Luis,122670,148,122818
139,20212,2021,2,Santa Cruz,48785,197,48982
140,20212,2021,2,Santa Fe,840449,151,840600
141,20212,2021,2,Santiago Del Estero,114089,1,114090
142,20212,2021,2,Tierra Del Fuego,35404,289,35693
143,20212,2021,2,Tucumán,233026,25,233051
144,20211,2021,1,Buenos Aires,4054936,5066,4060002
145,20211,2021,1,Capital Federal,1378283,1390,1379673
146,20211,2021,1,Catamarca,51967,1,51968
147,20211,2021,1,Chaco,139767,3,139770
148,20211,2021,1,Chubut,131515,825,132340
149,20211,2021,1,Córdoba,910826,55,910881
150,20211,2021,1,Corrientes,126622,3,126625
151,20211,2021,1,Entre Ríos,251950,13,251963
152,20211,2021,1,Formosa,50686,0,50686
153,20211,2021,1,Jujuy,110456,0,110456
154,20211,2021,1,La Pampa,96989,116,97105
155,20211,2021,1,La Rioja,52625,3,52628
156,20211,2021,1,Mendoza,218308,615,218923
157,20211,2021,1,Misiones,149387,0,149387
158,20211,2021,1,Neuquén,132862,373,133235
159,20211,2021,1,Río Negro,140667,501,141168
160,20211,2021,1,Salta,187572,2,187574
161,20211,2021,1,San Juan,78011,256,78267
162,20211,2021,1,San Luis,119006,148,119154
163,20211,2021,1,Santa Cruz,45868,197,46065
164,20211,2021,1,Santa Fe,825990,137,826127
165,20211,2021,1,Santiago Del Estero,111640,1,111641
166,20211,2021,1,Tierra Del Fuego,40133,289,40422
167,20211,2021,1,Tucumán,231890,22,231912
168,20204,2020,4,Buenos Aires,4028195,5066,4033261
169,20204,2020,4,Capital Federal,1378140,1390,1379530
170,20204,2020,4,Catamarca,52395,1,52396
171,20204,2020,4,Chaco,139088,3,139091
172,20204,2020,4,Chubut,129749,825,130574
173,20204,2020,4,Córdoba,902646,55,902701
174,20204,2020,4,Corrientes,125656,3,125659
175,20204,2020,4,Entre Ríos,247368,13,247381
176,20204,2020,4,Formosa,50206,0,50206
177,20204,2020,4,Jujuy,105851,0,105851
178,20204,2020,4,La Pampa,96779,116,96895
179,20204,2020,4,La Rioja,52775,3,52778
180,20204,2020,4,Mendoza,214838,615,215453
181,20204,2020,4,Misiones,147161,0,147161
182,20204,2020,4,Neuquén,132762,373,133135
183,20204,2020,4,Río Negro,140709,501,141210
184,20204,2020,4,Salta,187388,2,187390
185,20204,2020,4,San Juan,72340,256,72596
186,20204,2020,4,San Luis,119287,148,119435
187,20204,2020,4,Santa Cruz,40477,197,40674
188,20204,2020,4,Santa Fe,820676,137,820813
189,20204,2020,4,Santiago Del Estero,106668,1,106669
190,20204,2020,4,Tierra Del Fuego,39325,289,39614
191,20204,2020,4,Tucumán,231067,22,231089
192,20203,2020,3,Buenos Aires,3932211,5066,3937277
193,20203,2020,3,Capital Federal,1371285,1390,1372675
194,20203,2020,3,Catamarca,49903,1,49904
195,20203,2020,3,Chaco,133951,3,133954
196,20203,2020,3,Chubut,129202,825,130027
197,20203,2020,3,Córdoba,867417,55,867472
198,20203,2020,3,Corrientes,123388,3,123391
199,20203,2020,3,Entre Ríos,241482,13,241495
200,20203,2020,3,Formosa,49209,0,49209
201,20203,2020,3,Jujuy,106728,0,106728
202,20203,2020,3,La Pampa,93619,116,93735
203,20203,2020,3,La Rioja,52613,3,52616
204,20203,2020,3,Mendoza,207173,615,207788
205,20203,2020,3,Misiones,143186,0,143186
206,20203,2020,3,Neuquén,128862,373,129235
207,20203,2020,3,Río Negro,130966,501,131467
208,20203,2020,3,Salta,180844,2,180846
209,20203,2020,3,San Juan,77071,256,77327
210,20203,2020,3,San Luis,116417,148,116565
211,20203,2020,3,Santa Cruz,39084,197,39281
212,20203,2020,3,Santa Fe,802861,137,802998
213,20203,2020,3,Santiago Del Estero,105491,1,105492
214,20203,2020,3,Tierra Del Fuego,39366,289,39655
215,20203,2020,3,Tucumán,223854,22,223876
216,20202,2020,2,Buenos Aires,3772480,5066,3777546
217,20202,2020,2,Capital Federal,1356431,1390,1357821
218,20202,2020,2,Catamarca,47975,1,47976
219,20202,2020,2,Chaco,128129,3,128132
220,20202,2020,2,Chubut,107831,825,108656
221,20202,2020,2,Córdoba,836413,55,836468
222,20202,2020,2,Corrientes,118863,3,118866
223,20202,2020,2,Entre Ríos,234100,13,234113
224,20202,2020,2,Formosa,47932,0,47932
225,20202,2020,2,Jujuy,94316,0,94316
226,20202,2020,2,La Pampa,89693,116,89809
227,20202,2020,2,La Rioja,52152,3,52155
228,20202,2020,2,Mendoza,200569,615,201184
229,20202,2020,2,Misiones,140340,0,140340
230,20202,2020,2,Neuquén,125799,373,126172
231,20202,2020,2,Río Negro,128985,501,129486
232,20202,2020,2,Salta,177760,2,177762
233,20202,2020,2,San Juan,69521,256,69777
234,20202,2020,2,San Luis,113804,148,113952
235,20202,2020,2,Santa Cruz,38672,197,38869
236,20202,2020,2,Santa Fe,777795,137,777932
237,20202,2020,2,Santiago Del Estero,105446,1,105447
238,20202,2020,2,Tierra Del Fuego,38900,289,39189
239,20202,2020,2,Tucumán,217134,22,217156
240,20201,2020,1,Buenos Aires,3702985,5066,3708051
241,20201,2020,1,Capital Federal,1352104,1390,1353494
242,20201,2020,1,Catamarca,39634,1,39635
243,20201,2020,1,Chaco,120274,3,120277
244,20201,2020,1,Chubut,95938,800,96738
245,20201,2020,1,Córdoba,811044,55,811099
246,20201,2020,1,Corrientes,113967,3,113970
247,20201,2020,1,Entre Ríos,231833,13,231846
248,20201,2020,1,Formosa,46434,0,46434
249,20201,2020,1,Jujuy,91665,0,91665
250,20201,2020,1,La Pampa,89110,116,89226
251,20201,2020,1,La Rioja,48337,3,48340
252,20201,2020,1,Mendoza,182837,615,183452
253,20201,2020,1,Misiones,133552,0,133552
254,20201,2020,1,Neuquén,121354,373,121727
255,20201,2020,1,Río Negro,125699,501,126200
256,20201,2020,1,Salta,170379,2,170381
257,20201,2020,1,San Juan,63975,256,64231
258,20201,2020,1,San Luis,110404,148,110552
259,20201,2020,1,Santa Cruz,38625,197,38822
260,20201,2020,1,Santa Fe,770981,137,771118
261,20201,2020,1,Santiago Del Estero,102754,1,102755
262,20201,2020,1,Tierra Del Fuego,38505,289,38794
263,20201,2020,1,Tucumán,200045,22,200067
264,20194,2019,4,Buenos Aires,3681120,5134,3686254
265,20194,2019,4,Capital Federal,1356695,1410,1358105
266,20194,2019,4,Catamarca,38310,1,38311
267,20194,2019,4,Chaco,117900,3,117903
268,20194,2019,4,Chubut,95292,810,96102
269,20194,2019,4,Córdoba,806633,55,806688
270,20194,2019,4,Corrientes,113831,3,113834
271,20194,2019,4,Entre Ríos,239017,13,239030
272,20194,2019,4,Formosa,46711,0,46711
273,20194,2019,4,Jujuy,88881,0,88881
274,20194,2019,4,La Pampa,90280,119,90399
275,20194,2019,4,La Rioja,48999,3,49002
276,20194,2019,4,Mendoza,185157,623,185780
277,20194,2019,4,Misiones,135813,0,135813
278,20194,2019,4,Neuquén,116069,376,116445
279,20194,2019,4,Río Negro,126636,504,127140
280,20194,2019,4,Salta,172443,2,172445
281,20194,2019,4,San Juan,64715,259,64974
282,20194,2019,4,San Luis,108053,148,108201
283,20194,2019,4,Santa Cruz,39170,200,39370
284,20194,2019,4,Santa Fe,769019,150,769169
285,20194,2019,4,Santiago Del Estero,103587,1,103588
286,20194,2019,4,Tierra Del Fuego,40101,291,40392
287,20194,2019,4,Tucumán,198621,23,198644
288,20193,2019,3,Buenos Aires,3950114,10119,3960233
289,20193,2019,3,Capital Federal,1437734,3477,1441211
290,20193,2019,3,Catamarca,32391,9,32400
291,20193,2019,3,Chaco,114438,13,114451
292,20193,2019,3,Chubut,87481,1524,89005
293,20193,2019,3,Córdoba,782946,107,783053
294,20193,2019,3,Corrientes,112749,10,112759
295,20193,2019,3,Entre Ríos,238057,45,238102
296,20193,2019,3,Formosa,46066,0,46066
297,20193,2019,3,Jujuy,86575,1,86576
298,20193,2019,3,La Pampa,90559,269,90828
299,20193,2019,3,La Rioja,49659,18,49677
300,20193,2019,3,Mendoza,223015,1322,224337
301,20193,2019,3,Misiones,133883,0,133883
302,20193,2019,3,Neuquén,123435,1986,125421
303,20193,2019,3,Río Negro,143391,904,144295
304,20193,2019,3,Salta,151834,1,151835
305,20193,2019,3,San Juan,72535,563,73098
306,20193,2019,3,San Luis,122409,291,122700
307,20193,2019,3,Santa Cruz,37642,328,37970
308,20193,2019,3,Santa Fe,760706,228,760934
309,20193,2019,3,Santiago Del Estero,133130,2,133132
310,20193,2019,3,Tierra Del Fuego,48043,544,48587
311,20193,2019,3,Tucumán,164099,32,164131
312,20192,2019,2,Buenos Aires,3845594,10104,3855698
313,20192,2019,2,Capital Federal,1412177,3443,1415620
314,20192,2019,2,Catamarca,33626,9,33635
315,20192,2019,2,Chaco,108721,13,108734
316,20192,2019,2,Chubut,86038,1518,87556
317,20192,2019,2,Córdoba,775023,105,775128
318,20192,2019,2,Corrientes,111539,10,111549
319,20192,2019,2,Entre Ríos,235780,44,235824
320,20192,2019,2,Formosa,46438,0,46438
321,20192,2019,2,Jujuy,86706,1,86707
322,20192,2019,2,La Pampa,89937,268,90205
323,20192,2019,2,La Rioja,50283,18,50301
324,20192,2019,2,Mendoza,222535,1322,223857
325,20192,2019,2,Misiones,132878,0,132878
326,20192,2019,2,Neuquén,120954,1999,122953
327,20192,2019,2,Río Negro,137632,915,138547
328,20192,2019,2,Salta,142567,1,142568
329,20192,2019,2,San Juan,69461,564,70025
330,20192,2019,2,San Luis,117094,291,117385
331,20192,2019,2,Santa Cruz,30225,325,30550
332,20192,2019,2,Santa Fe,743258,226,743484
333,20192,2019,2,Santiago Del Estero,126752,2,126754
334,20192,2019,2,Tierra Del Fuego,46910,544,47454
335,20192,2019,2,Tucumán,166299,32,166331
336,20191,2019,1,Buenos Aires,3736563,10104,3746667
337,20191,2019,1,Capital Federal,1396157,3443,1399600
338,20191,2019,1,Catamarca,33613,9,33622
339,20191,2019,1,Chaco,103664,13,103677
340,20191,2019,1,Chubut,78260,1518,79778
341,20191,2019,1,Córdoba,744010,105,744115
342,20191,2019,1,Corrientes,102477,10,102487
343,20191,2019,1,Entre Ríos,232403,44,232447
344,20191,2019,1,Formosa,45211,0,45211
345,20191,2019,1,Jujuy,90146,1,90147
346,20191,2019,1,La Pampa,88892,268,89160
347,20191,2019,1,La Rioja,51638,18,51656
348,20191,2019,1,Mendoza,204976,1322,206298
349,20191,2019,1,Misiones,122720,0,122720
350,20191,2019,1,Neuquén,112321,2056,114377
351,20191,2019,1,Río Negro,120173,915,121088
352,20191,2019,1,Salta,136019,1,136020
353,20191,2019,1,San Juan,61881,564,62445
354,20191,2019,1,San Luis,96044,291,96335
355,20191,2019,1,Santa Cruz,24580,325,24905
356,20191,2019,1,Santa Fe,736851,227,737078
357,20191,2019,1,Santiago Del Estero,89851,2,89853
358,20191,2019,1,Tierra Del Fuego,45903,544,46447
359,20191,2019,1,Tucumán,171970,32,172002
360,20184,2018,4,Buenos Aires,3626502,10104,3636606
361,20184,2018,4,Capital Federal,1385577,3443,1389020
362,20184,2018,4,Catamarca,33574,9,33583
363,20184,2018,4,Chaco,103257,13,103270
364,20184,2018,4,Chubut,77204,1518,78722
365,20184,2018,4,Córdoba,737234,105,737339
366,20184,2018,4,Corrientes,100591,10,100601
367,20184,2018,4,Entre Ríos,222003,44,222047
368,20184,2018,4,Formosa,45204,0,45204
369,20184,2018,4,Jujuy,90132,1,90133
370,20184,2018,4,La Pampa,85368,268,85636
371,20184,2018,4,La Rioja,51633,18,51651
372,20184,2018,4,Mendoza,204982,1322,206304
373,20184,2018,4,Misiones,116273,0,116273
374,20184,2018,4,Neuquén,112309,2056,114365
375,20184,2018,4,Río Negro,115922,915,116837
376,20184,2018,4,Salta,134577,1,134578
377,20184,2018,4,San Juan,61834,564,62398
378,20184,2018,4,San Luis,96040,291,96331
379,20184,2018,4,Santa Cruz,24443,325,24768
380,20184,2018,4,Santa Fe,720161,229,720390
381,20184,2018,4,Santiago Del Estero,89333,2,89335
382,20184,2018,4,Tierra Del Fuego,45716,544,46260
383,20184,2018,4,Tucumán,171972,32,172004
384,20183,2018,3,Buenos Aires,3599714,10563,3610277
385,20183,2018,3,Capital Federal,1385804,6686,1392490
386,20183,2018,3,Catamarca,34215,11,34226
387,20183,2018,3,Chaco,102021,12,102033
388,20183,2018,3,Chubut,101310,2426,103736
389,20183,2018,3,Córdoba,725764,94,725858
390,20183,2018,3,Corrientes,99445,11,99456
391,20183,2018,3,Entre Ríos,204560,48,204608
392,20183,2018,3,Formosa,44865,0,44865
393,20183,2018,3,Jujuy,44934,1,44935
394,20183,2018,3,La Pampa,83180,244,83424
395,20183,2018,3,La Rioja,51855,17,51872
396,20183,2018,3,Mendoza,205545,1484,207029
397,20183,2018,3,Misiones,108042,0,108042
398,20183,2018,3,Neuquén,114713,2005,116718
399,20183,2018,3,Río Negro,112433,1059,113492
400,20183,2018,3,Salta,132882,1,132883
401,20183,2018,3,San Juan,63823,658,64481
402,20183,2018,3,San Luis,74121,300,74421
403,20183,2018,3,Santa Cruz,33565,434,33999
404,20183,2018,3,Santa Fe,694883,217,695100
405,20183,2018,3,Santiago Del Estero,86358,2,86360
406,20183,2018,3,Tierra Del Fuego,45056,508,45564
407,20183,2018,3,Tucumán,171135,31,171166
408,20182,2018,2,Buenos Aires,3490134,10565,3500699
409,20182,2018,2,Capital Federal,1362498,6688,1369186
410,20182,2018,2,Catamarca,34078,11,34089
411,20182,2018,2,Chaco,98509,12,98521
412,20182,2018,2,Chubut,98137,2427,100564
413,20182,2018,2,Córdoba,712979,94,713073
414,20182,2018,2,Corrientes,97946,11,97957
415,20182,2018,2,Entre Ríos,199937,48,199985
416,20182,2018,2,Formosa,44554,0,44554
417,20182,2018,2,Jujuy,45132,1,45133
418,20182,2018,2,La Pampa,82177,244,82421
419,20182,2018,2,La Rioja,51931,17,51948
420,20182,2018,2,Mendoza,199468,1484,200952
421,20182,2018,2,Misiones,106147,0,106147
422,20182,2018,2,Neuquén,113842,2006,115848
423,20182,2018,2,Río Negro,111176,1059,112235
424,20182,2018,2,Salta,134166,1,134167
425,20182,2018,2,San Juan,63443,658,64101
426,20182,2018,2,San Luis,21168,300,21468
427,20182,2018,2,Santa Cruz,33970,435,34405
428,20182,2018,2,Santa Fe,684243,309,684552
429,20182,2018,2,Santiago Del Estero,83773,2,83775
430,20182,2018,2,Tierra Del Fuego,44199,508,44707
431,20182,2018,2,Tucumán,169926,31,169957
432,20181,2018,1,Buenos Aires,3464882,10564,3475446
433,20181,2018,1,Capital Federal,1359882,6688,1366570
434,20181,2018,1,Catamarca,33934,11,33945
435,20181,2018,1,Chaco,96925,12,96937
436,20181,2018,1,Chubut,95532,2427,97959
437,20181,2018,1,Córdoba,713825,101,713926
438,20181,2018,1,Corrientes,94406,11,94417
439,20181,2018,1,Entre Ríos,197346,48,197394
440,20181,2018,1,Formosa,32328,0,32328
441,20181,2018,1,Jujuy,44405,1,44406
442,20181,2018,1,La Pampa,82668,396,83064
443,20181,2018,1,La Rioja,52228,17,52245
444,20181,2018,1,Mendoza,199463,1484,200947
445,20181,2018,1,Misiones,103580,0,103580
446,20181,2018,1,Neuquén,115897,2006,117903
447,20181,2018,1,Río Negro,110057,1062,111119
448,20181,2018,1,Salta,133182,1,133183
449,20181,2018,1,San Juan,62610,658,63268
450,20181,2018,1,San Luis,21096,300,21396
451,20181,2018,1,Santa Cruz,33970,435,34405
452,20181,2018,1,Santa Fe,679717,309,680026
453,20181,2018,1,Santiago Del Estero,82916,2,82918
454,20181,2018,1,Tierra Del Fuego,31106,508,31614
455,20181,2018,1,Tucumán,168026,31,168057
456,20174,2017,4,Buenos Aires,3171206,10690,3181896
457,20174,2017,4,Capital Federal,1575418,6906,1582324
458,20174,2017,4,Catamarca,29548,10,29558
459,20174,2017,4,Chaco,96603,12,96615
460,20174,2017,4,Chubut,91012,2428,93440
461,20174,2017,4,Córdoba,709874,105,709979
462,20174,2017,4,Corrientes,93760,11,93771
463,20174,2017,4,Entre Ríos,193654,49,193703
464,20174,2017,4,Formosa,32056,0,32056
465,20174,2017,4,Jujuy,43551,1,43552
466,20174,2017,4,La Pampa,81675,396,82071
467,20174,2017,4,La Rioja,52177,17,52194
468,20174,2017,4,Mendoza,178661,1490,180151
469,20174,2017,4,Misiones,103895,0,103895
470,20174,2017,4,Neuquén,114965,2006,116971
471,20174,2017,4,Río Negro,108702,1062,109764
472,20174,2017,4,Salta,132811,1,132812
473,20174,2017,4,San Juan,57965,659,58624
474,20174,2017,4,San Luis,14604,300,14904
475,20174,2017,4,Santa Cruz,29018,434,29452
476,20174,2017,4,Santa Fe,672137,323,672460
477,20174,2017,4,Santiago Del Estero,68842,2,68844
478,20174,2017,4,Tierra Del Fuego,28346,508,28854
479,20174,2017,4,Tucumán,162298,34,162332
480,20173,2017,3,Buenos Aires,3046758,11202,3057960
481,20173,2017,3,Capital Federal,1563289,7070,1570359
482,20173,2017,3,Catamarca,33467,11,33478
483,20173,2017,3,Chaco,93747,12,93759
484,20173,2017,3,Chubut,81067,2477,83544
485,20173,2017,3,Córdoba,696536,108,696644
486,20173,2017,3,Corrientes,92536,12,92548
487,20173,2017,3,Entre Ríos,185414,50,185464
488,20173,2017,3,Formosa,32105,0,32105
489,20173,2017,3,Jujuy,43241,1,43242
490,20173,2017,3,La Pampa,79280,410,79690
491,20173,2017,3,La Rioja,51896,17,51913
492,20173,2017,3,Mendoza,190958,1533,192491
493,20173,2017,3,Misiones,100476,0,100476
494,20173,2017,3,Neuquén,113755,2029,115784
495,20173,2017,3,Río Negro,106393,1103,107496
496,20173,2017,3,Salta,132517,1,132518
497,20173,2017,3,San Juan,61789,660,62449
498,20173,2017,3,San Luis,21408,311,21719
499,20173,2017,3,Santa Cruz,33222,468,33690
500,20173,2017,3,Santa Fe,662086,256,662342
501,20173,2017,3,Santiago Del Estero,82792,2,82794
502,20173,2017,3,Tierra Del Fuego,30883,583,31466
503,20173,2017,3,Tucumán,160979,33,161012
504,20172,2017,2,Buenos Aires,3067430,11201,3078631
505,20172,2017,2,Capital Federal,1592175,8016,1600191
506,20172,2017,2,Catamarca,26692,13,26705
507,20172,2017,2,Chaco,90597,14,90611
508,20172,2017,2,Chubut,62245,1730,63975
509,20172,2017,2,Córdoba,657505,133,657638
510,20172,2017,2,Corrientes,90085,12,90097
511,20172,2017,2,Entre Ríos,182675,57,182732
512,20172,2017,2,Formosa,29956,0,29956
513,20172,2017,2,Jujuy,42656,1,42657
514,20172,2017,2,La Pampa,72573,449,73022
515,20172,2017,2,La Rioja,16271,18,16289
516,20172,2017,2,Mendoza,169302,1451,170753
517,20172,2017,2,Misiones,99794,0,99794
518,20172,2017,2,Neuquén,115321,2112,117433
519,20172,2017,2,Río Negro,100621,998,101619
520,20172,2017,2,Salta,108540,1,108541
521,20172,2017,2,San Juan,51261,620,51881
522,20172,2017,2,San Luis,12992,315,13307
523,20172,2017,2,Santa Cruz,26019,369,26388
524,20172,2017,2,Santa Fe,566918,362,567280
525,20172,2017,2,Santiago Del Estero,33194,2,33196
526,20172,2017,2,Tierra Del Fuego,31938,619,32557
527,20172,2017,2,Tucumán,154374,37,154411
528,20171,2017,1,Buenos Aires,3178174,11202,3189376
529,20171,2017,1,Capital Federal,1391030,8016,1399046
530,20171,2017,1,Catamarca,26304,13,26317
531,20171,2017,1,Chaco,89036,14,89050
532,20171,2017,1,Chubut,62166,1730,63896
533,20171,2017,1,Córdoba,641066,133,641199
534,20171,2017,1,Corrientes,88596,12,88608
